[13/07/2022 04:37:20] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 04:38:44] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 04:41:44] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 10:31:02] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 10:31:25] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 10:34:05] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 15:46:25] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 15:47:20] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 17:01:48] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 17:03:21] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 17:04:47] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 17:05:59] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 17:31:21] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 17:42:56] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 17:46:27] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 17:49:53] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 17:53:38] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 18:02:04] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 18:03:31] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 19:34:04] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 20:02:42] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 20:13:34] [INFO] received Windows console close event; shutting log-core down
[13/07/2022 20:19:17] [INFO] received Windows console close event; shutting log-core down
[14/07/2022 15:01:42] [INFO] received Windows console close event; shutting log-core down
[14/07/2022 15:11:22] [INFO] received Windows console close event; shutting log-core down
[14/07/2022 15:54:27] [INFO] received Windows console close event; shutting log-core down
[14/07/2022 15:58:45] [INFO] received Windows console close event; shutting log-core down
[14/07/2022 16:07:36] [INFO] received Windows console close event; shutting log-core down
[14/07/2022 16:27:50] [INFO] received Windows console close event; shutting log-core down
[14/07/2022 16:29:56] [INFO] received Windows console close event; shutting log-core down
[14/07/2022 16:36:16] [INFO] received Windows console close event; shutting log-core down
[14/07/2022 16:46:45] [INFO] received Windows console close event; shutting log-core down
[14/07/2022 18:04:32] [INFO] received Windows console close event; shutting log-core down
[14/07/2022 22:06:25] [INFO] received Windows console close event; shutting log-core down
[14/07/2022 22:11:48] [INFO] received Windows console close event; shutting log-core down
[14/07/2022 22:13:57] [INFO] received Windows console close event; shutting log-core down
[14/07/2022 22:16:23] [INFO] received Windows console close event; shutting log-core down
[14/07/2022 22:18:12] [INFO] received Windows console close event; shutting log-core down
[15/07/2022 02:03:32] [INFO] received Windows console close event; shutting log-core down
[15/07/2022 02:14:47] [INFO] received Windows console close event; shutting log-core down
[15/07/2022 02:22:44] [INFO] received Windows console close event; shutting log-core down
[15/07/2022 02:31:26] [INFO] received Windows console close event; shutting log-core down
[15/07/2022 02:57:25] [INFO] received Windows console close event; shutting log-core down
[15/07/2022 04:09:10] [INFO] received Windows console close event; shutting log-core down
[15/07/2022 04:16:24] [INFO] received Windows console close event; shutting log-core down
[15/07/2022 04:16:46] [INFO] received Windows console close event; shutting log-core down
[15/07/2022 04:17:34] [INFO] received Windows console close event; shutting log-core down
[15/07/2022 04:20:22] [INFO] received Windows console close event; shutting log-core down
[15/07/2022 16:00:36] [INFO] received Windows console close event; shutting log-core down
[15/07/2022 16:05:24] [INFO] received Windows console close event; shutting log-core down
